date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://en.wikibooks.org/wiki/X86_Assembly/Floating_Point	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Floating_Point.0.delayed	(from )
02:13:07	105002/105002	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:50:54%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Floating_Point.html	(from )
02:13:08	4310/4310	---M-Z	200	added ('OK')	text/plain	date:Thu,%2020%20Mar%202025%2023:38:00%20GMT	https://en.wikibooks.org/robots.txt		(from )
02:13:08	50053/50053	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Jun%202025%2000:13:07%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/skins.vector.js	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/skins.vector.2.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:09	50188/50188	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Jun%202025%2000:13:08%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/auth.wikimedia.org	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/auth.wikimedia.3.delayed	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:09	101793/101793	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2009:42:09%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/X86_Architecture	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/X86_Architecture.html	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:09	155086/155086	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2020:48:41%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Data_Transfer	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Data_Transfer.html	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:10	109247/109247	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2021:07:10%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Control_Flow	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Control_Flow.html	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:10	89860/89860	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2000:13:09%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Arithmetic	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Arithmetic.html	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
02:13:10	91530/91530	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2022:39:31%20GMT	https://en.wikibooks.org/wiki/X86_Assembly/Logic	D:/websites/wikibooks/wikibooks_asm/en.wikibooks.org/wiki/X86_Assembly/Logic.html	(from https://en.wikibooks.org/wiki/X86_Assembly/Floating_Point)
